Rank,Requirement,Link
Scout,1a,
Scout,1b,
Scout,1c,
Scout,1d,
Scout,1e,
Scout,1f,
Scout,2a,
Scout,2b,
Scout,2c,
Scout,2d,
Scout,2e,
Scout,3,
Scout,4,
Scout,5,
Scout,6,
Tenderfoot,1a,
Tenderfoot,1b,
Tenderfoot,1c,
Tenderfoot,2a,
Tenderfoot,2b,
Tenderfoot,3a,
Tenderfoot,3b,
Tenderfoot,3c,
Tenderfoot,3d,
Tenderfoot,4a,
Tenderfoot,4b,
Tenderfoot,5a,
Tenderfoot,5b,
Tenderfoot,5c,
Tenderfoot,5d,
Tenderfoot,6a,
Tenderfoot,6b,
Tenderfoot,6c,
Tenderfoot,7a,
Tenderfoot,7b,
Tenderfoot,8,
Tenderfoot,9,
Second Class,1a,
Second Class,1b,
Second Class,1c,
Second Class,2a,
Second Class,2b,
Second Class,2c,
Second Class,2d,
Second Class,2e,
Second Class,2f,
Second Class,2g,
Second Class,3a,
Second Class,3b,
Second Class,3c,
Second Class,3d,
Second Class,4,
Second Class,5a,
Second Class,5b,
Second Class,5c,
Second Class,5d,
Second Class,6a,
Second Class,6b,
Second Class,6c,
Second Class,6d,
Second Class,6e,
Second Class,7a,
Second Class,7b,
Second Class,8a,
Second Class,8b,
Second Class,8c,
Second Class,8d,
Second Class,9a,
Second Class,9b,
Second Class,10,
First Class,1a,
First Class,1b,
First Class,1c,
First Class,1d,
First Class,1e,
First Class,2a,
First Class,2b,
First Class,2c,
First Class,2d,
First Class,2e,
First Class,2f,
First Class,2g,
First Class,3a,
First Class,3b,
First Class,3c,
First Class,3d,
First Class,4a,
First Class,4b,
First Class,5a,
First Class,5b,
First Class,5c,
First Class,6a,
First Class,6b,
First Class,6c,
First Class,7a,
First Class,7b,
First Class,8a,
First Class,8b,
First Class,9a,
First Class,9b,
First Class,9c,
First Class,9d,
First Class,10,
First Class,11,
Star,1,
Star,2,
Star,3,
Star,4,
Star,5,
Star,6,
Star,7,
Life,1,
Life,2,
Life,3,
Life,4,
Life,5,
Life,6,
Eagle,1,
Eagle,2,
Eagle,3,
Eagle,4,
Eagle,5,
Eagle,6,
Eagle,7,
