Year,Event
1910,"Scouting America is founded as the Boy Scouts of America."
1912,"Arthur Eldred of Rockville Centre Troop 1 becomes America's first Eagle Scout."
1917,"Theodore Roosevelt Council is founded as Nassau County Council."
1927,"St. William the Abbot Roman Catholic Church is officially established, later becoming the chartered organization of Troop 690."
1962,"Troop 690 is founded in Seaford, New York and chartered by St. William the Abbot Roman Catholic Church."
1962,"Rev. Msgr. Dermod Flinn is named the first Executive Officer."
1967,"Michael O'Moore becomes Troop 690's first Eagle Scout."
1971,"Rev. Thomas Leavey is named the second Executive Officer."
1997,"Nassau County Council becomes Theodore Roosevelt Council."
2000,"Rev. William Koenig is named the third Executive Officer."
2007,"Ryan Woodward becomes Troop 690's 50th Eagle Scout."
2009,"Edward Lettieri is named Scoutmaster."
2009,"Rev. Robert Hayden is named the fourth Executive Officer."
2010,"Boy Scouts of America celebrates its centennial."
2012,"Troop 690 celebrates its semicentennial."
2017,"Theodore Roosevelt Council celebrates its centennial."
2017,"Eric Quinn becomes Troop 690's 100th Eagle Scout."
2017,"James Harinski is named Scoutmaster."
2019,"Rev. Joseph Fitzgerald is named the fifth Executive Officer."
2020,"Ryan Kreuder is named Scoutmaster."
2022,"Troop 239, originally chartered by the Seaford American Legion, merges with Troop 690."
2025,"Boy Scouts of America becomes Scouting America."
2025,"Joseph Caniano is named Scoutmaster."
2026,"Theodore Roosevelt Council and Suffolk County Council merge to become Scouting America Long Island."
2026,"The United States of America celebrates its semiquincentennial."
2026–2027,"A current Scout will become Troop 690's 150th Eagle Scout."
